"","SERIALNO","puma_id","SYNTHETIC_HID","place_id","longitude","latitude","AGEGRP","HRSWRK","IMMSTAT","INCTAX","MODE","OCC","POB","RELIGION","SEX","SYNTHETIC_PID","AGEGRP_marg","fsa","ctHH_tertile","ctHHIncome","ID","quest","regio","s2","s3","q21","ctDensity_","ctedu","edu4","foreignBorn","language","employed","nKIDS","HHincomeIMP","nTrust","nPerception","G_scReach","G_scRange","G_scDiversity","N_scReach","N_scRange","N_scDiversity","gTrust","nLocusControl","nHHTie","nNeighbTie","nBeyondTie","nTie","nAlterFemale","sdAlterEdu","nAlterExercise","nAlterSmoke","nAlterSmokeHH"
"11",5947,462,"4620700.01-7",4620700.01,-73.6225577573312,45.69712781385,1,99,2,999999,9,9,1,2,1,"4620700.01-7-14","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",25515,462,"4620700.01-8",4620700.01,-73.6314948645792,45.702324229817,4,3,2,3000,6,9,1,2,2,"4620700.01-8-17","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",41222,462,"4620700.01-10",4620700.01,-73.631012622248,45.7000453007713,6,6,2,5000,6,9,1,2,1,"4620700.01-10-20","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",41222,462,"4620700.01-10",4620700.01,-73.631012622248,45.7000453007713,6,6,2,12000,6,9,1,2,2,"4620700.01-10-21","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",34192,462,"4620700.01-13",4620700.01,-73.6265949547684,45.7029196328692,3,1,2,0,7,9,1,88,1,"4620700.01-13-27","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",34192,462,"4620700.01-13",4620700.01,-73.6265949547684,45.7029196328692,2,99,2,999999,9,9,1,88,2,"4620700.01-13-28","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",101791,462,"4620700.01-17",4620700.01,-73.6284482788615,45.7021278306434,8,5,2,1000,6,9,1,2,1,"4620700.01-17-35","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",83201,462,"4620700.01-18",4620700.01,-73.6301581227508,45.6977816245316,5,5,2,5000,2,1,1,2,2,"4620700.01-18-38","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",91619,462,"4620700.01-19",4620700.01,-73.6277636280456,45.7023314708752,4,4,2,2000,2,1,1,2,1,"4620700.01-19-39","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",91619,462,"4620700.01-19",4620700.01,-73.6277636280456,45.7023314708752,4,4,2,0,6,9,1,2,2,"4620700.01-19-40","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1050,462,"4620700.01-20",4620700.01,-73.6314632858581,45.6908149267744,4,2,2,0,5,2,1,88,2,"4620700.01-20-43","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1050,462,"4620700.01-20",4620700.01,-73.6314632858581,45.6908149267744,3,0,2,0,9,9,1,88,1,"4620700.01-20-44","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",49181,462,"4620700.01-22",4620700.01,-73.6224560639853,45.6992551799286,8,5,2,14000,9,9,1,2,1,"4620700.01-22-47","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",49181,462,"4620700.01-22",4620700.01,-73.6224560639853,45.6992551799286,3,0,2,0,9,9,1,2,1,"4620700.01-22-48","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",49181,462,"4620700.01-22",4620700.01,-73.6224560639853,45.6992551799286,2,99,2,999999,9,9,1,2,1,"4620700.01-22-49","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",54528,462,"4620700.01-23",4620700.01,-73.6277911538288,45.6964005790844,4,0,2,0,9,9,1,9,1,"4620700.01-23-52","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",54528,462,"4620700.01-23",4620700.01,-73.6277911538288,45.6964005790844,3,3,2,0,6,9,1,9,1,"4620700.01-23-53","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",54528,462,"4620700.01-23",4620700.01,-73.6277911538288,45.6964005790844,3,3,2,0,6,9,5,9,1,"4620700.01-23-54","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",54528,462,"4620700.01-23",4620700.01,-73.6277911538288,45.6964005790844,3,0,2,0,9,9,1,9,2,"4620700.01-23-55","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",97954,462,"4620700.01-25",4620700.01,-73.634082630442,45.6922436624648,7,4,3,35000,2,1,3,2,2,"4620700.01-25-58","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",97954,462,"4620700.01-25",4620700.01,-73.634082630442,45.6922436624648,7,0,2,9000,2,1,1,2,1,"4620700.01-25-59","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",97954,462,"4620700.01-25",4620700.01,-73.634082630442,45.6922436624648,2,99,3,999999,9,9,5,2,1,"4620700.01-25-60","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",97954,462,"4620700.01-25",4620700.01,-73.634082630442,45.6922436624648,1,99,3,999999,9,9,4,2,1,"4620700.01-25-61","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",97954,462,"4620700.01-25",4620700.01,-73.634082630442,45.6922436624648,1,99,3,999999,9,9,4,2,1,"4620700.01-25-62","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",75720,462,"4620700.01-27",4620700.01,-73.6315464968551,45.703124426396,3,2,2,0,2,1,1,2,2,"4620700.01-27-66","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",41812,462,"4620700.01-28",4620700.01,-73.6263231383991,45.7006096034238,5,5,2,4000,6,9,1,2,1,"4620700.01-28-67","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",41812,462,"4620700.01-28",4620700.01,-73.6263231383991,45.7006096034238,5,6,2,2000,7,9,1,9,2,"4620700.01-28-68","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",45110,462,"4620700.01-29",4620700.01,-73.633369238107,45.6948878345728,4,0,3,0,9,9,4,88,2,"4620700.01-29-71","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",45110,462,"4620700.01-29",4620700.01,-73.633369238107,45.6948878345728,4,0,3,0,9,9,4,88,2,"4620700.01-29-72","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",87602,462,"4620700.01-30",4620700.01,-73.6349322457354,45.6922399196986,7,5,3,1000,1,9,3,9,2,"4620700.01-30-73","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",87602,462,"4620700.01-30",4620700.01,-73.6349322457354,45.6922399196986,7,5,2,11000,6,9,1,9,1,"4620700.01-30-74","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",87602,462,"4620700.01-30",4620700.01,-73.6349322457354,45.6922399196986,1,99,2,999999,9,9,1,9,1,"4620700.01-30-75","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",87602,462,"4620700.01-30",4620700.01,-73.6349322457354,45.6922399196986,1,99,2,999999,9,9,1,9,1,"4620700.01-30-76","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",18556,462,"4620700.01-32",4620700.01,-73.6304322898245,45.7029197468742,5,5,2,4000,2,1,1,2,2,"4620700.01-32-81","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",18556,462,"4620700.01-32",4620700.01,-73.6304322898245,45.7029197468742,4,5,2,1,2,1,1,2,2,"4620700.01-32-82","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",18556,462,"4620700.01-32",4620700.01,-73.6304322898245,45.7029197468742,4,4,2,3000,2,1,1,2,1,"4620700.01-32-83","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",18556,462,"4620700.01-32",4620700.01,-73.6304322898245,45.7029197468742,3,3,2,0,2,1,1,2,2,"4620700.01-32-84","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",5811,462,"4620700.01-33",4620700.01,-73.6294588142463,45.697947076257,6,2,2,1000,9,9,1,9,1,"4620700.01-33-85","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",5811,462,"4620700.01-33",4620700.01,-73.6294588142463,45.697947076257,6,5,2,17000,6,9,1,9,2,"4620700.01-33-86","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",70321,462,"4620700.01-34",4620700.01,-73.6257149245921,45.695926543754,2,99,2,999999,9,9,1,2,2,"4620700.01-34-87","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",70321,462,"4620700.01-34",4620700.01,-73.6257149245921,45.695926543754,1,99,2,999999,9,9,1,2,1,"4620700.01-34-88","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",70321,462,"4620700.01-34",4620700.01,-73.6257149245921,45.695926543754,8,5,2,3000,2,1,1,2,2,"4620700.01-34-89","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",70321,462,"4620700.01-34",4620700.01,-73.6257149245921,45.695926543754,8,4,2,3000,2,1,1,2,1,"4620700.01-34-90","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",67840,462,"4620700.01-36",4620700.01,-73.6243762158387,45.698600212875,8,4,2,3000,2,1,1,2,1,"4620700.01-36-94","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",67840,462,"4620700.01-36",4620700.01,-73.6243762158387,45.698600212875,2,99,2,999999,9,9,1,2,2,"4620700.01-36-95","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",53378,462,"4620700.01-39",4620700.01,-73.6291139196482,45.7032069587403,8,5,3,10000,2,1,3,88,2,"4620700.01-39-99","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",53378,462,"4620700.01-39",4620700.01,-73.6291139196482,45.7032069587403,8,5,3,10000,2,1,3,88,1,"4620700.01-39-100","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",53378,462,"4620700.01-39",4620700.01,-73.6291139196482,45.7032069587403,3,2,3,0,6,9,3,88,1,"4620700.01-39-101","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",120260,462,"4620700.01-40",4620700.01,-73.630147350359,45.6975606515844,3,0,2,0,9,9,1,2,2,"4620700.01-40-104","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",5795,462,"4620700.01-41",4620700.01,-73.625414214025,45.7020190374033,4,0,2,2000,2,1,1,2,2,"4620700.01-41-107","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",22233,462,"4620700.01-42",4620700.01,-73.6309993459603,45.6924649822696,3,0,2,0,9,9,1,2,1,"4620700.01-42-109","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",23542,462,"4620700.01-45",4620700.01,-73.6336529694114,45.6926531673732,6,4,2,3000,6,9,1,2,2,"4620700.01-45-113","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",23542,462,"4620700.01-45",4620700.01,-73.6336529694114,45.6926531673732,7,0,3,4000,6,9,3,2,1,"4620700.01-45-114","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",23542,462,"4620700.01-45",4620700.01,-73.6336529694114,45.6926531673732,1,99,2,999999,9,9,1,9,2,"4620700.01-45-115","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",23542,462,"4620700.01-45",4620700.01,-73.6336529694114,45.6926531673732,1,99,2,999999,9,9,1,9,2,"4620700.01-45-116","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",63838,462,"4620700.01-46",4620700.01,-73.622345252275,45.6997110117865,6,5,2,12000,2,1,1,2,2,"4620700.01-46-117","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",50072,462,"4620700.01-48",4620700.01,-73.6262390123286,45.695122857049,8,7,2,8000,7,9,1,5,1,"4620700.01-48-119","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",99410,462,"4620700.01-49",4620700.01,-73.6232185567864,45.698811006123,5,5,2,1,7,9,1,2,1,"4620700.01-49-120","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",29820,462,"4620700.01-50",4620700.01,-73.6229641370283,45.6964232204787,7,3,3,0,2,1,4,9,1,"4620700.01-50-121","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",29820,462,"4620700.01-50",4620700.01,-73.6229641370283,45.6964232204787,8,4,3,0,6,9,4,9,2,"4620700.01-50-122","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
