"Id1","Id2","Geog.","NumberOfHouseholds"
"14000US10003014805","10003014805","Census Tract 148.05, New Castle County, Delaware",3431
"14000US10003014807","10003014807","Census Tract 148.07, New Castle County, Delaware",2998
"14000US10003014808","10003014808","Census Tract 148.08, New Castle County, Delaware",2537
"14000US10003014809","10003014809","Census Tract 148.09, New Castle County, Delaware",3029
"14000US10003014810","10003014810","Census Tract 148.10, New Castle County, Delaware",2605
"14000US10003014903","10003014903","Census Tract 149.03, New Castle County, Delaware",2288
"14000US10003014904","10003014904","Census Tract 149.04, New Castle County, Delaware",2170
"14000US10003014906","10003014906","Census Tract 149.06, New Castle County, Delaware",1960
"14000US10003014907","10003014907","Census Tract 149.07, New Castle County, Delaware",1919
"14000US10003014908","10003014908","Census Tract 149.08, New Castle County, Delaware",1033
"14000US10003014909","10003014909","Census Tract 149.09, New Castle County, Delaware",2473
"14000US10003015000","10003015000","Census Tract 150, New Castle County, Delaware",2129
"14000US10003015100","10003015100","Census Tract 151, New Castle County, Delaware",1327
"14000US10003015200","10003015200","Census Tract 152, New Castle County, Delaware",2016
"14000US10003015400","10003015400","Census Tract 154, New Castle County, Delaware",1088
"14000US10003015502","10003015502","Census Tract 155.02, New Castle County, Delaware",1091
"14000US10003015600","10003015600","Census Tract 156, New Castle County, Delaware",872
"14000US10003015802","10003015802","Census Tract 158.02, New Castle County, Delaware",808
"14000US10003015900","10003015900","Census Tract 159, New Castle County, Delaware",1225
"14000US10003016000","10003016000","Census Tract 160, New Castle County, Delaware",1128
"14000US10003016100","10003016100","Census Tract 161, New Castle County, Delaware",956
"14000US10003016200","10003016200","Census Tract 162, New Castle County, Delaware",1177
"14000US10003016301","10003016301","Census Tract 163.01, New Castle County, Delaware",2095
"14000US10003016302","10003016302","Census Tract 163.02, New Castle County, Delaware",2711
"14000US10003016305","10003016305","Census Tract 163.05, New Castle County, Delaware",3099
"14000US10003016401","10003016401","Census Tract 164.01, New Castle County, Delaware",1844
"14000US10003016404","10003016404","Census Tract 164.04, New Castle County, Delaware",1067
"14000US10003016601","10003016601","Census Tract 166.01, New Castle County, Delaware",3720
"14000US10003016602","10003016602","Census Tract 166.02, New Castle County, Delaware",2030
"14000US10003016604","10003016604","Census Tract 166.04, New Castle County, Delaware",3995
"14000US10003016608","10003016608","Census Tract 166.08, New Castle County, Delaware",1379
"14000US10003016801","10003016801","Census Tract 168.01, New Castle County, Delaware",1723
"14000US10003016804","10003016804","Census Tract 168.04, New Castle County, Delaware",1997
"14000US10003016901","10003016901","Census Tract 169.01, New Castle County, Delaware",899
"14000US10003016904","10003016904","Census Tract 169.04, New Castle County, Delaware",526
"14000US10003980100","10003980100","Census Tract 9801, New Castle County, Delaware",0
"14000US10003990100","10003990100","Census Tract 9901, New Castle County, Delaware",0
"14000US10005050101","10005050101","Census Tract 501.01, Sussex County, Delaware",1393
"14000US10005050103","10005050103","Census Tract 501.03, Sussex County, Delaware",2109
"14000US10005050104","10005050104","Census Tract 501.04, Sussex County, Delaware",1513
"14000US10005050105","10005050105","Census Tract 501.05, Sussex County, Delaware",2190
"14000US10005050200","10005050200","Census Tract 502, Sussex County, Delaware",1129
"14000US10005050301","10005050301","Census Tract 503.01, Sussex County, Delaware",2639
"14000US10005050302","10005050302","Census Tract 503.02, Sussex County, Delaware",1609
"14000US10005050401","10005050401","Census Tract 504.01, Sussex County, Delaware",1344
"14000US10005050403","10005050403","Census Tract 504.03, Sussex County, Delaware",1228
"14000US10005050405","10005050405","Census Tract 504.05, Sussex County, Delaware",1545
"14000US10005050406","10005050406","Census Tract 504.06, Sussex County, Delaware",1994
"14000US10005050407","10005050407","Census Tract 504.07, Sussex County, Delaware",1824
"14000US10005050408","10005050408","Census Tract 504.08, Sussex County, Delaware",1891
"14000US10005050501","10005050501","Census Tract 505.01, Sussex County, Delaware",1367
"14000US10005050503","10005050503","Census Tract 505.03, Sussex County, Delaware",1676
"14000US10005050504","10005050504","Census Tract 505.04, Sussex County, Delaware",2033
"14000US10005050601","10005050601","Census Tract 506.01, Sussex County, Delaware",2146
"14000US10005050602","10005050602","Census Tract 506.02, Sussex County, Delaware",2713
"14000US10005050701","10005050701","Census Tract 507.01, Sussex County, Delaware",2013
"14000US10005050703","10005050703","Census Tract 507.03, Sussex County, Delaware",1621
"14000US10005050704","10005050704","Census Tract 507.04, Sussex County, Delaware",2945
"14000US10005050705","10005050705","Census Tract 507.05, Sussex County, Delaware",4287
"14000US10005050706","10005050706","Census Tract 507.06, Sussex County, Delaware",2122
"14000US10005050801","10005050801","Census Tract 508.01, Sussex County, Delaware",1553
"14000US10005050802","10005050802","Census Tract 508.02, Sussex County, Delaware",1897
"14000US10005050803","10005050803","Census Tract 508.03, Sussex County, Delaware",4225
"14000US10005050901","10005050901","Census Tract 509.01, Sussex County, Delaware",1657
"14000US10005050902","10005050902","Census Tract 509.02, Sussex County, Delaware",3418
"14000US10005051003","10005051003","Census Tract 510.03, Sussex County, Delaware",3688
"14000US10005051004","10005051004","Census Tract 510.04, Sussex County, Delaware",2397
"14000US10005051005","10005051005","Census Tract 510.05, Sussex County, Delaware",3113
"14000US10005051006","10005051006","Census Tract 510.06, Sussex County, Delaware",2399
"14000US10005051007","10005051007","Census Tract 510.07, Sussex County, Delaware",4591
"14000US10005051101","10005051101","Census Tract 511.01, Sussex County, Delaware",1970
"14000US10005051102","10005051102","Census Tract 511.02, Sussex County, Delaware",2033
"14000US10005051103","10005051103","Census Tract 511.03, Sussex County, Delaware",2193
"14000US10005051201","10005051201","Census Tract 512.01, Sussex County, Delaware",2758
"14000US10005051202","10005051202","Census Tract 512.02, Sussex County, Delaware",1610
"14000US10005051203","10005051203","Census Tract 512.03, Sussex County, Delaware",2099
"14000US10005051204","10005051204","Census Tract 512.04, Sussex County, Delaware",2692
"14000US10005051205","10005051205","Census Tract 512.05, Sussex County, Delaware",1813
"14000US10005051301","10005051301","Census Tract 513.01, Sussex County, Delaware",3693
"14000US10005051302","10005051302","Census Tract 513.02, Sussex County, Delaware",1849
"14000US10005051303","10005051303","Census Tract 513.03, Sussex County, Delaware",4255
"14000US10005051305","10005051305","Census Tract 513.05, Sussex County, Delaware",2103
"14000US10005051306","10005051306","Census Tract 513.06, Sussex County, Delaware",3015
"14000US10005051400","10005051400","Census Tract 514, Sussex County, Delaware",1553
"14000US10005051500","10005051500","Census Tract 515, Sussex County, Delaware",2446
"14000US10005051701","10005051701","Census Tract 517.01, Sussex County, Delaware",1542
"14000US10005051702","10005051702","Census Tract 517.02, Sussex County, Delaware",2220
"14000US10005051801","10005051801","Census Tract 518.01, Sussex County, Delaware",1976
"14000US10005051802","10005051802","Census Tract 518.02, Sussex County, Delaware",1807
"14000US10005051900","10005051900","Census Tract 519, Sussex County, Delaware",1586
"14000US10005990000","10005990000","Census Tract 9900, Sussex County, Delaware",0
